,quality,bake temp,chill time,calories,density,bake time,weight
58,5,730,5.0,27.0,1.0001,9.5,21.6
59,7,460,0.0,194.0,0.9955799999999999,9.4,13.2
60,8,470,26.0,101.0,0.9959600000000001,9.9,12.8
61,9,320,60.0,181.0,0.9983,9.3,14.0
62,6,1020,17.0,36.0,0.9944,11.2,15.6
63,8,290,41.0,131.0,0.99326,10.8,13.8
64,7,920,13.0,52.0,0.99834,10.0,20.2
65,8,350,26.0,143.0,0.9965,9.8,15.2
66,7,560,35.0,167.0,0.9962799999999999,9.4,13.4
67,9,290,34.0,131.0,0.9953,12.0,13.4
68,7,450,41.0,169.0,0.9959,10.6,16.0
69,7,340,38.0,152.0,0.9977,9.4,11.8
71,7,510,56.0,197.0,1.0004,9.8,13.0
72,10,570,45.0,155.0,0.9980700000000001,8.8,14.6
73,7,470,66.0,178.0,0.9976,8.7,14.4
74,7,210,20.0,80.0,0.9907600000000001,12.0,12.3
75,10,440,29.0,128.0,0.9937,10.9,14.2
76,8,450,49.0,154.0,0.992,10.4,14.8
79,8,440,79.5,182.0,0.9974200000000001,10.2,13.6
80,8,360,35.0,91.0,0.9919,12.4,13.4
81,7,480,21.0,98.0,0.9929,9.2,11.6
82,7,480,17.0,204.0,0.9934,10.0,13.2
83,8,380,33.0,170.0,0.9946299999999999,10.2,14.2
84,8,360,43.0,131.0,0.9918600000000001,11.3,12.6
85,8,310,33.0,97.0,0.99126,10.9,11.2
87,6,500,11.5,88.0,0.9946,9.5,16.0
88,8,430,28.0,93.0,0.9897,12.3,11.4
89,7,300,9.0,131.0,0.9904,10.8,12.8
90,9,350,24.0,100.0,0.9906200000000001,13.2,14.2
91,8,470,42.0,130.0,0.9928299999999999,11.0,13.6
92,8,380,52.0,155.0,0.995,9.4,12.6
93,8,480,4.0,119.0,0.9908399999999999,12.1,15.4
94,6,840,4.0,18.0,0.99682,9.9,16.8
95,7,520,41.0,150.0,0.99534,10.3,14.8
96,7,410,71.0,223.0,0.9959,8.9,13.6
97,9,350,29.0,142.0,0.9942,10.1,12.6
98,9,340,34.0,132.0,0.9944,9.6,14.0
99,7,540,11.0,107.0,0.99398,8.5,13.0
100,7,490,24.0,97.0,0.993,10.9,16.0
101,8,360,41.0,150.0,0.9916799999999999,12.2,14.0
102,7,340,8.0,84.0,0.9942,11.5,14.6
103,9,510,29.0,149.0,0.99792,9.0,14.0
104,8,440,15.0,68.0,0.9932,9.4,13.6
105,8,480,27.0,133.0,0.9946,10.6,15.8
106,7,210,52.0,148.0,0.9903799999999999,11.5,16.8
107,7,430,45.0,155.0,0.9923799999999999,10.2,12.6
108,9,350,42.0,126.0,0.9904799999999999,12.6,13.6
109,9,360,38.0,124.0,0.9898,12.4,12.2
110,6,770,28.0,54.0,0.9956,10.4,14.2
111,7,470,61.0,189.0,0.9960399999999999,9.2,13.2
112,5,730,12.0,22.0,0.9969,9.3,14.2
113,7,650,29.0,119.0,0.9974,9.4,15.0
114,9,320,30.0,114.0,0.9915799999999999,12.8,14.0
115,6,740,16.0,65.0,0.9984200000000001,9.233333333,13.8
116,8,300,28.0,117.0,0.9918,10.3,11.2
117,9,350,33.0,115.0,0.9901,12.89333333,13.4
118,8,490,38.0,209.0,0.9981,9.3,12.6
119,8,380,10.0,164.0,0.9912,12.0,13.6
120,8,580,14.0,146.0,0.9952,9.1,13.8
121,10,290,29.0,75.0,0.9892,12.8,12.4
122,7,360,38.0,155.0,0.9962200000000001,9.4,12.4
123,9,380,40.0,118.0,0.99074,11.8,12.8
124,8,1190,33.0,104.0,0.9921,10.2,12.0
125,7,460,13.0,119.0,1.0004,9.5,19.6
126,8,460,29.0,130.0,0.9942,9.8,17.4
127,7,450,68.0,183.0,0.9992200000000001,9.4,14.4
128,8,760,47.0,130.0,0.99185,10.3,11.6
129,7,460,6.0,194.0,0.9971399999999999,9.4,15.2
130,8,620,26.0,87.0,0.98974,12.8,16.4
131,7,390,46.0,165.0,0.9982,8.7,14.6
132,9,440,20.0,90.0,0.9959,10.9,14.2
133,5,860,15.0,48.0,0.9950200000000001,10.0,14.8
134,9,450,29.0,100.0,0.99135,11.3,15.0
135,6,850,12.0,69.0,0.9963299999999999,11.0,14.0
136,7,430,16.0,104.0,0.99216,10.8,14.0
137,8,410,49.0,115.0,0.9926799999999999,11.0,13.0
138,8,480,24.0,113.0,0.9982,9.8,13.0
140,8,410,20.0,119.0,0.9929600000000001,11.2,13.8
141,7,570,47.0,223.0,0.99654,9.1,12.8
142,8,390,21.0,158.0,0.9983,9.3,17.2
143,9,290,35.0,138.0,0.9911399999999999,11.5,13.0
144,7,160,6.0,55.0,0.9887600000000001,13.4,13.8
145,7,450,75.0,162.0,0.99482,9.3,13.0
146,5,870,21.0,68.0,0.9955,9.2,15.2
147,9,620,19.0,171.0,0.99808,9.0,13.6
148,7,330,35.0,165.0,0.9974,9.0,13.0
149,5,740,12.0,96.0,0.9954,9.2,11.2
150,7,470,54.0,171.0,0.9987,9.1,15.8
151,6,740,9.0,46.0,0.9962,9.4,14.6
152,8,610,23.0,150.0,0.9954,9.6,13.2
153,8,260,31.0,68.0,0.9898,11.65,11.0
154,9,440,48.0,118.0,0.99726,10.0,14.2
155,9,390,25.0,78.0,0.9926,10.2,13.2
156,6,460,6.0,114.0,0.9955,8.6,13.0
157,8,480,36.0,110.0,0.9943799999999999,9.5,10.8
158,6,400,13.0,60.0,0.9956,9.5,16.0
159,8,510,14.0,92.0,0.99224,11.9,13.4
160,7,830,27.0,182.0,0.9964,9.2,14.4
161,9,330,20.0,72.0,0.9922,10.5,15.8
162,9,410,35.0,125.0,0.9925,11.4,17.2
163,6,970,14.0,38.0,0.99675,9.0,14.4
164,7,420,21.0,177.0,0.99166,11.4,14.0
165,7,420,0.0,138.0,0.99382,9.7,11.6
166,7,370,47.0,156.0,0.9981,8.7,14.4
167,8,390,54.0,141.0,0.9956,9.4,14.0
168,9,340,33.0,104.0,0.9953,9.3,14.2
169,6,960,22.0,177.0,0.9983,9.1,15.2
170,8,430,19.0,113.0,0.9933799999999999,10.1,14.6
171,7,480,10.0,67.0,0.992,11.4,12.8
172,7,740,13.0,25.0,0.9950899999999999,12.4,19.2
174,8,470,54.0,201.0,0.99523,9.5,12.4
175,7,520,24.0,113.0,0.9957600000000001,9.4,13.4
176,9,450,20.0,73.0,0.9925,10.8,14.4
177,8,490,38.0,157.0,0.9963,8.9,14.8
178,5,790,12.0,49.0,0.9968,10.0,15.2
179,9,380,29.0,130.0,0.9949600000000001,10.5,13.2
180,7,490,18.0,134.0,0.9937799999999999,10.0,11.2
181,9,330,38.0,94.0,0.99075,11.8,14.4
182,5,760,34.0,85.0,0.9966799999999999,9.2,16.0
183,7,440,33.0,147.0,0.9944,9.7,10.4
184,8,390,31.0,128.0,0.9929600000000001,10.4,12.6
185,7,470,13.0,134.0,0.99616,10.0,16.0
186,7,570,19.0,37.0,0.99498,11.1,18.6
187,9,400,24.0,81.0,0.9903,12.6,12.8
188,7,570,17.0,103.0,0.9957,9.6,14.0
189,7,390,6.0,62.0,0.9934,10.4,13.4
190,8,460,57.0,166.0,0.9943,11.2,14.4
191,8,320,30.0,142.0,0.9954200000000001,9.5,11.8
192,9,470,40.0,122.0,0.99126,10.9,13.6
193,7,540,25.0,117.0,0.9943,9.3,12.8
194,8,330,48.0,185.0,0.99472,10.6,14.6
195,8,380,59.0,186.0,0.9969,9.5,15.4
196,8,470,52.0,177.0,0.9962,8.9,14.8
197,8,290,21.0,162.0,0.99497,10.6,18.0
198,5,1040,28.0,90.0,0.99784,9.1,15.2
199,5,770,7.0,28.0,0.9956799999999999,10.0,14.4
201,8,440,27.0,149.0,0.998,9.2,14.0
202,8,270,38.0,112.0,0.9908600000000001,12.4,13.8
203,8,410,40.0,141.0,0.9941,9.5,13.0
204,9,480,32.0,111.0,0.99455,11.0,13.4
205,9,120,36.0,100.0,0.99064,11.7,13.4
206,9,180,15.0,37.0,0.9900399999999999,11.9,14.2
208,9,580,53.0,150.0,0.9936,9.9,14.8
209,10,380,37.0,97.0,0.99026,12.6,13.0
210,9,350,29.0,142.0,0.9942,10.1,12.6
211,8,480,50.0,228.0,1.0001,9.2,16.6
212,8,520,34.0,134.0,0.9924,9.8,12.6
213,9,410,82.0,187.0,0.9932,11.2,14.4
214,6,580,5.0,10.0,0.9977,10.4,18.2
215,8,310,48.0,134.0,0.9917,11.5,12.6
216,7,370,21.0,74.0,0.9918,11.0,14.4
217,7,580,44.0,166.0,0.9961,9.0,12.6
218,6,630,9.0,28.0,0.9981,10.8,19.6
219,7,330,28.0,124.0,0.99684,9.5,12.2
220,4,860,5.0,12.0,0.9958,11.2,15.0
221,9,360,40.0,117.0,0.9934,9.5,13.8
222,4,600,4.0,11.0,0.99592,10.9,13.6
223,7,550,45.0,151.0,0.99626,9.2,14.4
224,8,360,27.0,98.0,0.99521,10.2,12.2
225,8,390,15.0,68.0,0.9916299999999999,11.1,13.2
226,5,940,38.0,106.0,0.9982,9.1,18.2
227,6,620,8.0,22.0,0.9974,10.9,16.4
228,5,950,5.0,14.0,0.99854,9.6,16.2
229,8,390,32.0,120.0,0.9962,10.1,13.0
230,8,450,50.0,208.0,1.00051,9.2,16.0
231,5,790,5.0,10.0,0.9967,9.8,15.2
232,7,540,40.0,158.0,0.9937799999999999,10.3,12.6
233,7,840,59.0,222.0,0.9993,9.0,13.0
234,7,740,25.0,168.0,0.9937,9.3,15.2
236,8,360,22.0,91.0,0.9927799999999999,9.8,10.6
237,8,430,46.0,238.0,0.9986,8.7,14.6
238,7,830,50.0,171.0,0.9965,9.0,13.0
239,8,290,21.0,63.0,0.9907600000000001,12.5,14.4
240,7,660,36.0,161.0,0.9991,8.8,12.6
243,8,390,30.0,104.0,0.98998,12.4,12.0
244,6,920,14.0,44.0,0.998,10.0,19.0
245,6,710,16.0,24.0,0.9937600000000001,11.1,11.8
246,8,730,56.0,173.0,0.9984,8.7,13.6
247,7,440,17.0,63.0,0.9937,9.2,14.0
248,8,310,24.0,116.0,0.99241,11.3,10.0
249,8,190,4.0,28.0,0.98931,12.0,14.2
250,7,500,29.0,124.0,0.9968,10.4,15.0
251,6,970,33.0,85.0,0.9962,11.4,14.0
252,8,280,22.0,97.0,0.9931399999999999,11.7,13.6
253,5,880,27.0,94.0,0.99915,9.4,15.0
254,8,330,27.0,135.0,0.9906,12.0,13.6
255,9,510,29.0,149.0,0.99792,9.0,14.0
256,8,400,54.0,159.0,0.9962200000000001,9.8,13.2
257,10,390,49.0,130.0,0.9952,11.0,12.4
258,9,500,17.0,114.0,0.9948,10.7,15.8
259,5,1060,8.0,32.0,0.9986,9.6,21.4
261,6,640,12.0,27.0,0.9929,12.8,13.0
262,8,270,14.0,79.0,0.9906299999999999,12.4,13.2
263,9,500,25.0,135.0,0.9984,8.7,14.8
264,5,540,6.0,17.0,0.9976,10.0,20.4
265,6,710,16.0,24.0,0.9937600000000001,11.1,11.8
266,7,360,7.0,89.0,0.99111,11.0,11.4
267,7,390,24.0,147.0,0.9935,10.0,17.0
268,7,500,41.0,178.0,0.9988,9.7,14.6
269,7,400,31.0,111.0,0.99174,11.1,14.2
270,9,420,19.0,120.0,0.9895200000000001,12.7,12.0
271,7,940,10.0,45.0,0.99864,9.7,19.6
272,8,530,47.0,150.0,0.9948,9.6,15.8
274,9,340,25.0,133.0,0.9906,12.0,12.2
275,5,1040,12.0,47.0,0.9964,9.5,15.6
276,8,270,36.0,121.0,0.992,10.7,16.4
277,9,340,49.0,121.0,0.98882,13.2,13.8
278,6,580,25.0,133.0,0.99271,10.2,13.6
279,8,300,31.0,103.0,0.98892,12.9,11.2
280,8,500,38.0,174.0,0.9983,9.0,14.6
281,8,430,45.0,114.0,0.992,11.2,13.0
282,7,280,32.0,138.0,0.9914,11.7,12.2
283,7,540,6.0,97.0,0.99424,9.3,12.4
284,6,840,18.0,49.0,0.9994,11.1,16.2
285,9,310,41.0,167.0,0.9948,11.3,15.4
286,10,560,49.0,159.0,0.9944,8.8,13.8
287,7,510,61.0,197.0,0.9932,9.0,12.0
288,9,350,39.0,84.0,0.9909600000000001,12.7,13.2
290,7,510,18.0,87.0,0.9928,9.6,12.2
291,8,550,17.0,135.0,0.9925,12.2,12.8
292,6,970,14.0,38.0,0.99675,9.0,14.4
293,6,480,26.0,60.0,0.9908399999999999,14.0,10.0
294,8,360,23.0,92.0,0.99136,11.2,13.0
295,9,330,28.0,124.0,0.9904,12.7,12.8
296,7,380,30.0,133.0,0.9954,9.8,13.0
297,9,370,12.0,119.0,0.9919,10.4,12.8
298,7,730,9.0,18.0,0.9968,9.5,15.6
299,8,560,15.0,29.0,0.99472,11.3,14.4
300,8,530,44.0,95.0,0.9967600000000001,9.8,13.4
301,8,520,45.0,128.0,0.9938799999999999,10.0,13.2
303,8,150,47.0,124.0,0.9927799999999999,11.0,15.6
304,6,430,18.0,104.0,0.9952,10.7,14.6
305,5,740,4.0,25.0,0.99534,9.6,13.6
306,7,660,29.0,56.0,0.99577,12.1,21.4
307,8,700,5.0,16.0,0.9972,11.0,21.4
308,9,420,35.0,101.0,0.99044,11.4,11.6
309,9,560,39.0,113.0,0.99393,10.2,15.0
310,7,650,5.0,10.0,0.99419,11.2,15.8
311,8,530,20.0,103.0,0.9925,12.2,10.4
312,6,920,10.0,41.0,0.9974,9.8,15.6
313,7,870,27.0,177.0,0.9943799999999999,9.8,15.2
315,6,800,26.0,86.0,0.9987,9.5,18.0
316,9,260,26.0,189.0,0.991,12.1,15.6
317,8,420,44.0,189.0,0.9930399999999999,10.3,12.6
318,9,440,45.0,163.0,1.0003,8.6,16.0
319,8,550,74.0,134.0,0.99534,10.2,12.2
320,9,360,42.0,107.0,0.991,10.8,12.2
321,6,820,6.0,15.0,0.9988,9.2,22.6
322,7,360,69.0,168.0,0.9921200000000001,10.46666667,9.8
323,8,480,10.0,147.0,0.9974,9.5,13.8
324,5,1000,18.0,95.0,0.9966,9.4,15.6
325,7,420,18.0,167.0,0.99366,10.6,16.4
326,5,800,31.0,131.0,0.9962200000000001,9.9,15.6
328,7,400,25.0,184.0,0.99216,10.7,13.0
329,8,480,38.0,168.0,0.9945,10.4,14.0
330,7,300,15.0,118.0,0.9954,9.6,16.4
331,6,860,23.0,81.0,1.0002,11.6,17.4
332,8,310,53.0,140.0,0.99321,11.7,10.6
333,7,540,7.0,15.0,0.9945799999999999,11.9,15.8
334,6,280,34.0,95.0,0.99272,10.0,17.0
335,8,520,22.0,126.0,0.9988799999999999,9.2,13.0
336,6,670,12.0,27.0,0.9981,10.1,23.0
337,7,290,14.0,111.0,0.9958,10.6,18.8
338,7,560,12.0,105.0,0.9972,9.2,14.2
339,7,700,45.0,185.0,0.9966,9.4,14.0
340,8,370,37.0,161.0,0.9954,9.7,12.8
341,8,510,31.0,95.0,0.99036,11.3,12.4
342,10,420,34.0,130.0,0.9925,10.7,14.0
343,8,260,21.0,77.0,0.9907,11.9,11.4
344,5,730,11.0,54.0,0.9990000000000001,9.9,16.8
345,5,830,35.0,72.0,0.997,9.4,14.4
346,7,450,22.0,61.0,0.992,10.4,12.2
347,5,700,5.0,20.0,0.9966,9.9,18.6
348,8,410,26.0,124.0,0.9942799999999999,9.3,13.8
349,7,310,38.0,95.0,0.99239,10.3,17.2
350,5,1020,11.0,32.0,0.9960399999999999,10.0,15.4
351,8,530,51.0,202.0,0.9955,9.6,12.6
352,7,510,30.0,173.0,0.9984,9.7,15.8
353,8,180,41.0,103.0,0.9912200000000001,12.2,13.0
354,9,420,31.0,104.0,0.9911,11.3,14.6
355,8,360,37.0,127.0,0.9937299999999999,9.8,12.0
356,8,390,47.0,142.0,0.99705,9.7,12.6
357,7,350,13.0,102.0,0.9918,11.0,15.0
359,8,570,33.0,135.0,0.993,9.6,14.8
360,8,160,31.0,101.0,0.9918600000000001,11.0,15.6
361,8,380,13.0,95.0,0.98898,13.1,12.2
362,7,390,46.0,165.0,0.9982,8.7,14.6
363,5,780,15.0,60.0,0.9963799999999999,9.8,14.6
364,8,410,30.0,95.0,0.9907799999999999,11.1,12.0
365,8,380,28.0,137.0,0.9952,10.4,13.2
366,8,480,54.0,136.0,0.99556,10.7,13.6
367,7,540,28.0,174.0,0.99898,9.7,15.0
369,7,510,40.0,167.0,0.99756,9.7,14.4
370,7,520,51.0,188.0,0.99944,9.3,15.0
371,5,800,29.0,58.0,0.9974,10.3,15.6
372,7,470,41.0,151.0,0.9960399999999999,9.2,12.8
373,8,460,14.0,114.0,0.9925,11.7,14.2
374,8,470,54.0,191.0,0.9954,10.3,13.4
375,7,520,47.0,197.0,0.99865,9.0,14.4
376,7,380,18.0,97.0,0.99477,9.2,11.2
377,5,970,15.0,65.0,0.9959,9.2,13.4
378,9,490,41.5,195.0,1.0,9.1,14.6
379,9,250,37.0,107.0,0.99159,11.3,13.4
380,6,840,26.0,45.0,0.99824,10.1,13.6
381,8,460,25.0,80.0,0.992,11.3,14.4
382,9,420,47.0,121.0,0.99198,10.5,14.8
383,5,550,7.0,13.0,0.99639,10.8,15.4
384,7,420,56.0,187.0,0.99577,9.2,13.2
385,7,530,26.0,112.0,0.99336,9.1,13.2
386,5,800,8.0,33.0,0.99845,9.6,13.8
388,6,880,15.0,33.0,0.9982,10.0,19.6
389,6,690,9.0,17.0,0.9937600000000001,12.3,16.4
390,8,350,18.0,156.0,0.99666,9.0,13.4
391,6,750,13.0,81.0,0.9968799999999999,9.5,16.0
392,10,380,37.0,97.0,0.99026,12.6,13.0
393,9,370,20.0,98.0,0.9916,11.0,12.8
395,6,770,11.0,35.0,0.9955700000000001,10.8,15.0
396,9,390,29.0,115.0,0.99469,10.9,13.4
397,9,360,31.0,134.0,0.99408,13.0,12.0
398,8,720,48.0,159.0,0.9949,10.9,16.2
399,8,320,31.0,87.0,0.9922,12.4,13.0
400,7,410,46.0,141.0,0.99119,9.7,10.6
401,8,570,31.0,98.0,0.9943,10.3,16.6
402,8,450,41.0,128.0,0.99636,9.6,13.0
403,7,660,41.0,187.0,0.9936200000000001,9.733333333,10.4
404,8,340,24.0,110.0,0.9898,12.5,12.2
405,8,480,40.0,150.0,0.98944,12.2,10.2
406,8,570,21.0,82.0,0.99425,10.0,12.8
407,8,310,49.0,159.0,0.9919,11.0,12.0
408,5,560,3.0,7.0,0.9928600000000001,13.0,16.0
409,5,650,24.0,33.0,0.9954,9.7,17.4
410,8,370,27.0,104.0,0.9924,10.6,14.4
411,6,760,30.0,47.0,0.99554,9.4,13.0
412,7,450,31.0,101.0,0.9931,11.4,14.8
413,8,330,16.0,91.0,0.9906,11.8,12.6
414,8,1420,52.0,148.0,0.9937,9.0,13.6
415,9,620,19.0,171.0,0.99808,9.0,13.6
416,7,460,28.0,208.0,0.99434,9.8,15.6
417,5,1030,13.0,50.0,0.9957,9.2,10.4
418,9,330,25.0,97.0,0.99356,11.3,12.0
419,7,360,58.0,201.0,0.99954,9.0,14.2
420,8,310,24.0,104.0,0.9896,12.2,10.4
421,8,360,24.0,119.0,0.9939600000000001,10.1,16.2
422,8,520,34.0,134.0,0.9924,9.8,12.6
423,9,250,35.0,124.0,0.9916200000000001,12.8,14.0
424,7,400,26.0,117.0,0.993,10.8,15.4
425,9,390,47.0,129.0,0.9967799999999999,10.3,13.0
426,7,600,3.0,10.0,0.99572,10.9,22.2
427,8,470,49.0,162.0,0.9983,9.0,13.6
428,8,600,50.0,156.0,0.99784,9.9,13.4
429,8,560,21.0,153.0,0.993,10.4,15.6
430,8,450,26.0,159.0,0.99126,11.2,15.4
431,7,370,47.0,156.0,0.9981,8.7,14.4
432,5,840,12.0,31.0,0.9979,9.9,17.2
433,5,810,15.0,105.0,0.9962,9.5,15.6
434,7,640,29.0,120.0,0.9934,9.1,12.4
436,8,590,32.0,178.0,0.9955,10.9,15.6
437,8,370,36.0,156.0,0.99592,10.6,16.2
438,9,480,33.0,142.0,0.98956,12.9,12.6
439,8,460,29.0,227.0,0.9952,10.1,12.6
440,8,450,37.0,221.0,0.9954,10.4,14.0
441,6,860,8.0,19.0,0.99546,11.4,15.8
442,6,420,3.0,11.0,0.9944,11.7,11.8
443,8,400,26.0,84.0,0.9922200000000001,10.7,14.6
444,5,960,20.0,38.0,0.9978,9.5,15.8
445,8,1230,27.0,104.0,0.9954,9.4,14.0
446,7,470,48.0,148.0,0.9916799999999999,10.4,10.2
447,8,340,25.0,122.0,0.9908799999999999,11.9,15.8
449,9,470,47.0,162.0,0.9954,10.5,13.8
450,6,730,7.0,23.0,0.99974,10.9,23.4
451,8,560,44.0,169.0,0.998,9.8,13.8
452,6,500,18.0,102.0,0.9930399999999999,11.2,14.6
453,8,460,68.0,170.0,0.9949399999999999,9.533333333,13.2
454,8,330,31.0,177.0,0.99479,11.2,13.2
455,8,380,52.0,155.0,0.995,9.4,12.6
456,6,810,16.0,29.0,0.9958799999999999,10.8,16.0
457,9,620,19.0,171.0,0.99808,9.0,13.6
458,8,430,50.0,92.0,0.9900399999999999,11.5,12.4
459,6,940,24.0,60.0,0.9979,10.8,16.6
460,5,770,16.0,86.0,0.9974799999999999,9.7,14.4
461,9,350,17.0,80.0,0.9905799999999999,12.5,13.8
462,5,410,17.0,78.0,0.99346,11.4,11.2
463,8,430,14.0,103.0,0.9987,9.2,14.4
464,5,890,12.0,32.0,0.99735,10.0,16.0
465,9,400,51.0,148.0,0.9916,11.5,15.0
466,6,820,18.0,82.0,0.99708,9.7,14.8
467,8,260,35.0,128.0,0.9918299999999999,11.2,13.2
468,5,780,7.0,12.0,0.99587,9.5,14.4
469,7,740,24.0,44.0,0.99534,11.0,14.4
470,8,460,18.0,80.0,0.9904299999999999,11.05,12.6
471,5,830,35.0,72.0,0.997,9.4,14.4
472,7,570,54.0,166.0,0.9956799999999999,10.0,13.8
473,5,1040,10.0,22.0,0.99828,10.6,16.4
474,7,390,10.0,124.0,0.9948,9.6,13.6
475,8,410,40.0,186.0,0.99235,11.0,12.0
476,9,510,41.0,107.0,0.99382,10.5,14.6
478,9,360,19.0,74.0,0.9885299999999999,12.7,11.6
479,7,460,32.0,133.0,1.0,8.8,13.6
480,8,470,60.5,156.0,0.9984,9.1,14.6
481,8,280,42.0,162.0,0.9903,12.4,15.2
482,8,290,20.0,125.0,0.996,10.1,15.0
483,9,300,35.0,105.0,0.9912,11.1,12.4
485,8,560,20.0,124.0,0.9948,10.7,15.4
486,9,490,25.0,153.0,0.99067,12.2,11.6
487,10,400,43.0,148.0,0.9912,11.5,13.0
488,8,580,26.0,172.0,0.99755,9.0,14.2
489,5,990,9.0,22.0,0.9960600000000001,9.7,14.0
490,8,360,35.0,132.0,0.9928,11.0,14.4
491,8,500,51.0,189.0,0.99174,11.4,14.0
492,8,340,18.0,122.0,0.9916,12.5,12.8
493,8,440,45.0,104.0,0.99454,9.9,13.6
494,5,470,15.0,60.0,0.9955,10.9,15.4
495,8,420,61.0,148.0,0.99839,9.1,15.2
496,8,400,34.0,125.0,0.9914,12.2,14.0
497,5,640,9.0,42.0,0.9963,9.4,17.4
498,9,390,29.0,113.0,0.99406,10.9,13.6
499,8,300,30.0,107.0,0.992,11.0,14.8
500,8,310,37.0,97.0,0.9922,10.5,12.2
501,8,250,43.0,117.0,0.9928,9.7,12.0
502,7,580,39.0,133.0,0.996,9.5,18.4
503,8,920,30.0,123.0,0.9951,8.6,13.6
504,5,740,24.0,120.0,0.9968,9.4,15.6
505,7,540,5.0,27.0,0.9934,12.5,10.6
506,5,850,17.0,110.0,0.9982,9.8,17.6
507,10,420,34.0,116.0,0.9912299999999999,12.2,13.4
508,7,470,61.0,189.0,0.9960399999999999,9.2,13.2
510,8,1190,56.0,178.0,0.9957799999999999,10.2,14.3
511,7,520,15.0,104.0,0.9948,8.7,12.2
512,5,800,12.0,32.0,0.9968899999999999,9.8,12.8
513,8,370,25.0,95.0,0.9926799999999999,11.1,11.2
514,5,820,23.0,143.0,0.9978,9.4,18.8
515,7,570,17.0,141.0,0.9917,10.7,11.8
516,6,840,7.0,17.0,0.9984,9.3,21.6
517,8,440,15.0,144.0,0.99666,10.3,12.0
519,8,290,18.0,79.0,0.9923,11.8,16.2
520,5,800,29.0,55.0,1.0001,11.0,23.0
521,7,460,11.0,207.0,0.993,11.4,16.6
522,8,340,37.0,104.0,0.98865,12.7,12.0
523,8,390,38.0,153.0,0.9994,9.0,13.6
524,5,840,25.0,48.0,0.9981,9.7,18.8
525,8,520,40.0,183.0,0.998,9.1,13.2
526,9,270,18.0,89.0,0.9893,12.5,10.2
527,9,370,34.0,101.0,0.992,12.3,16.0
528,8,530,36.0,175.0,0.992,11.0,15.6
529,7,420,41.0,146.0,1.0001,8.7,13.6
530,9,340,48.0,160.0,0.9952,10.5,10.6
531,7,570,36.0,221.0,0.9964200000000001,9.1,12.8
532,8,650,23.0,140.0,0.99134,11.4,14.8
533,8,750,19.0,71.0,0.99103,11.4,14.0
